驴友,庐山,枫叶,山间,迷路,小时,全部,获救
爱好者,选择,登山,观景
天气晴好,南昌,驴友,九江,星子县,海会,寺,爬,庐山,枫叶,进山,驴友,迷路
消防官兵,小时,搜救,人员,全部,获救,下山
江西,星子县,消防大队,接到,求救,电话,称,庐山,五老峰
报案,驴友,回忆,来自,南昌,驴友,分乘,大巴车,赶到,九江,庐山,泉,海会,寺,五老峰,山顶,攀爬
山路,路况,点算,驴友,走散,直到,天黑,下山,驴友,报警,求助
驴友,表示,走失,驴友,登山,经验,小孩
原本,打算,登山,庐山,植物园,欣赏,红叶,没想,迷路,下山,乘车,离开,留下,领队,司机,等候
时,救援,指挥,人员,山路,攀爬
时,分,驴友,消防,战士,向导,带领,走,下山
驴友,包括,老人
救援,官兵,名驴,上话
时,驴友,获救,送往
消防,部门,提醒,驴友,登山,游玩,时,应,服从,领队,严禁,脱队,行动,遇到,部门,求助,登山,应,做到,结伴,出行,参加,合法,俱乐部,组织,活动
驴友,出发,应对,气候,特点,有所,了解,衣物
了解,登山,旅游,路线,熟悉,线路,向导,带路,防止,盲目,乱闯
记者,邓望,报道
