金马,台湾,影人,香港,影人,文化,自尊,新浪,文化,新浪网
编者按,金马奖,证胆,爆冷,颁奖
看出,不想,精英,趣味,引导,不想,政治,引起,大众,情绪,裹胁
曲高和寡,做作,心态,不想,迎,通俗,电影,愿意,发出,属于,声音
文,梅雪风,金马,大赢家,娄烨,导演,推拿,收获,包括,最佳影片,项,金马
娄烨,电影,生涯,作品,丢掉
观影,过程,进入,盲人,缺少,光明,缺少,活力,世界,上帝,拿掉,视觉,触觉,情感,发达,电影,蝙蝠,触觉,情感,暗涌,实体
叙事,方式,中国化,电影,电影,主角,主线,情感,状态,柏林,电影节,得到,赞誉
获得,柏林,金熊奖,演员,焰火,金,颗粒无收,推拿,相反
电影,欧洲,文艺,电影,孩子,描绘,疏离,存在主义,欧洲,电影,熟悉,调调
金马,做出,柏林,选择,反应,捍卫,东方文化,阐释,权,决心,文化,目的
娄烨,导演,推拿,电影海报,金马,奖项,像是,宣言,显,方式,宣示,价值观
推拿,表演,基础,盲人,张磊,获得,新人奖,归来,张慧雯,演,生动,张磊,盲人,身份,强化,金马奖,声明,作品,英雄,基调
时,新闻,中心,惊呼,鼓掌声,淹没
证明,台湾,呼声,最佳影片,落马
魏德圣,监制,大热片,颗粒无收,觉得,金马,主席,张艾嘉,感谢,台湾籍,评委,处以,决定
特立独行,选择,世人,宣示,想,电影,评判,尺度
选择,奖项,显得,有点,情绪化
洗脱,分,猪肉,陈建斌,男演员,男配角,导演,奖项
表达,金钱,时代,许鞍华,有着,胆识,雄心,探索,电影,叙事,方法,可能性,敬仰,导演,相赠,许鞍华,上台,话,做好,准备,艺术,牺牲,拿到,奖,知道
奖,金马,愿,动作,设计,颁,救火,英雄,黄伟亮
绣,春刀,桑林,武林,甄子丹,元彬,大众,认可
参与,好莱坞,电影,制作,桑林,巷战,风格,引入,古装,武侠片,武侠片,风貌,甄子丹,香港,顶级,武指,维持,动作,无,新意,一流,水准
产业,金马奖,决定,有着,动作,香港,动作,成为,脱离,电影,语境,整体,成为,杂耍,时,奖项,提醒,动作,应该,整体,艺术,子,剧情,服务,超出,剧情,需要,炫,丽都
内地,电影,台湾,电影,显得,金马,出身,台湾,电影,有所,偏袒
台湾,电影,奖项,易智言,原创,剧本,行动代号,孙中山,回光,奏鸣曲,陈湘琪,女主角,寄托,台湾,电影,期望,得奖,反应,易智言,后台,采访,跳,杨,德昌,独立,时代,蔡,合作,陈湘琪,流泪
内地,电影,强势,电影,中心,移往,,时代,台湾,电影,失落感,台湾,电影,香港电影,文化,失落,感
评为,年度,台湾,电影,黄志明,称为,台湾,电影,肺,感人,事情,借钱,拍,赛,德克,巴莱,电影,颁奖,现场,还给,魏德圣,签,账单
看到,感动,知道,理想主义,存在,存在,愿意,相信,实现
评奖,激进,现象,创作,力量,崛起
殡棺,忻钰,坤,少女,那吒,李宵峰,包括,推拿,摄影,曾剑,短片,锤子,镰刀,休息,导演,耿军,获,获奖,创作者,显示,创作力,路,刚刚开始
存在,金马,显得,竞赛,成,平台,预示,华语,样貌
喜欢,金马,讲,有点,任性,噤声,奖项,愿意,张扬,价值观,愿意,价值观,引导,行业,属
华语,电影圈,奖项,公正,透明,角度,任性,存在
声明,代表,作者,观点,代表,新浪网,立场
