姚明,姚,基金,携手,耐克,推动,青少年,篮球运动
,专电,耐克公司,宣布,中国篮球,巨星,姚明,姚,基金,合作,推动,青少年,篮球运动,发展
耐克,姚明,姚,基金,合作,致力于,青少年,体育运动,普及,推广,着力,发展,双方,篮球,项目
目标,人群,涵盖,小学,中学,青少年,群体,量身,打造,适合,运动,项目,帮助,健康成长,耐克,姚明,希望,辛勤,耕耘,发展,提升,奠定,基础
耐克,姚明,渊源
耐克,冉冉升起,姚明,合作,支持,法国巴黎,美国,圣迭戈,参加,篮球,训练营
耐克,集团,副总裁,耐克,大中华区,总经理,施秉,岚,表示,篮球,爱好者,耐克,品牌,运动员,姚明,爱,篮球运动
携手,影响,鼓励,青少年,加入,运动,篮球,激发,潜能
退役,姚明,关注,致力于,推动,青少年,体育运动,创建,姚,基金,希望,小学,篮球,季,项目,志愿者,支教,希望,小学,大力推广,篮球,逾,青少年,受益,姚明,创办,篮球,学校,篮球,基础,篮球运动,男,青少年,课余时间,量身,打造,系统,篮球,训练
双方,合作,姚明,认为,体育运动,帮助,青少年,健康成长,有着,不可,替代,作用,篮球,融入,教育,教育,结合,助力,中国篮球,发展,关键
期待,耐克,合作,能够,青少年,提供,高水平,篮球运动,装备,水准,篮球,训练,支持,传递,体育运动,精神,文化,带给,帮助,健康成长
