欧莱雅,叫卖,引,争议
天猫,商城,商家,打出,销售,半价,妆,产品,广告,出售,产品,网店,标注,欧莱雅,官方,旗舰店,称,产品,售出,退换
中国消费者协会,工作人员,告诉,北京青年报,记者,销售,产品,行为,违法
发现,知名品牌,旗舰店,半价,卖,产品,天猫,商城,商家,打出,销售,半价,妆,产品,广告
广告,称,商品,半价,促销
购买,注意,保质期,问题
北京青年报,记者,注意,美妆,品牌,欧莱雅,出售,产品,提到,半价,产品
北青报,记者,发现,产品,欧莱雅,深层,修复,润,发乳,店铺,商品信息,注明,有效期
了解,款润,发乳,产品,原价,半价,促销,活动,价格
产品,欧莱雅,精华,粉底液,标注,有效期,产品,原价,活动,促销,价格
北青报,记者,注意,位,消费者,购买,产品
购买,润,发乳,消费者,评价,留言,瓶,官方,正品,标贴,看着,味道,好闻,满意
购买,产品,消费者,评价,留言,满意,没用
网店,北青报,记者,发现,网店,销售,商品,奶粉,处理,乳酪
了解,食品,成交,记录,北青报,记者,进,声称,奶粉,代购,店铺,发现,销售,品牌,牛羊,猫,狗,奶粉,成交,记录,累计,评价,消费者,评价,鱼腥味,小羊,吃,拉稀,死,品牌
