国际田联,认可,男子,马拉松,新纪录
伦敦,专电,国际田联,宣布,肯尼亚,选手,丹尼斯,基梅托,创造,小时,分,男子,马拉松,世界纪录,获得,认可
男子,马拉松,进入,小时,分,时代
基梅托,世界纪录,柏林,马拉松赛,创造,历史,跑,进,小时,马拉松,选手
世界纪录,肯尼亚,选手,基普,桑,创造,地点,柏林,马拉松赛
基梅,托,夺得,波士顿,马拉松赛,东京,马拉松赛,冠军
