国美,商城,亚马逊,坚持,免,运费,叫板,京东,商城,科技
京东,商城,终止,免,运费,政策,实施,电子商务,行业,大佬,亚马逊,国美,网上商城,表示,坚持,免,运费,服务,政策,不变
京东,商城,发布公告,称,金额,订单,收取,运费
网商,不乏,免,运费,限制,金额,规定,跃升,网购,行业,京东,商城,政策,引来,表态,坚持,免,运费,抢占市场
国美,网上商城,表示,全场,免,运费,服务,不变,亚马逊,宣布,继续,坚持,自售,商品,免,运费
国美,网上商城,总经理,韩德鹏,认为,免,运费,服务项目,考量,企业,发展,盈利,水平
